level1_categories,level_2_categories
Info Tech,Info Tech
Travel & Tourism,PaaS
Travel,Products
Vehicles & Parts,SaaS
Automobiles,Travel & Tourism
Shopping,Air Travel
Banking & Finance,Holiday Packages
Others,Hotel
Career & Job,Tourism
Entertainment,Travel Booking Services
Food & Dining,Vehicles & Parts
Health & Pharmaceutical,Auto Accessories
Utility,Bike
Education,Car
Family and Relationships,Automobiles
Hobbies & Interests,Auto Body Styles
Home & Garden,Four Wheeler
Music and Audio,Auto Parts
News & Politics,Auto Rentals
Personal Finance,Auto Safety
Online Services,Auto Shows
Real Estate,Auto Technology
Sports & Games,Auto Type
FMCG,Two Wheeler
Gadgets & Technology,Books & Audible
Education ,Banking & Finance
Religion & Spirituality,Business
Air Travel,Banking
CAN,Investment
Click,Loans
DFP,Logistics
Impression,Economy
,Job
,Industries
,Entertainment
,Food & Dining
,Manufacturing
,Non-Profit Organizations
,Pharmaceutical
,Retail
,Telecom
,Career & Job
,Apprenticeships
,Career Advice & Counselling
,Career Planning
,Remote Working
,Vocational Training
,Education
,College Education
,Professional School
,Kids Schooling
,Language Learning
,Online Courses
,Primary Education
,Secondary Education
,Offline Entertainment
,Malls & Shopping Centers
,Family and Relationships
,Parenting
,Health & Pharmaceutical
,Nutrition
,Weight Loss
,Wellness
,Health Supplements
,Physical Therapy
,Hobbies & Interests
,Games and Puzzles
,Workshops and Classes
,Home & Garden
,Electronics
,Home Entertaining
,Smart Home
,Medical Health
,Music and Audio
,News & Politics
,News
,Politics
,Personal Finance
,Financial Planning
,Home Utilities
,Internet
,Insurance
,Personal Debt
,Personal Investing
,Real Estate
,Real Estate Buying and Selling
,Real Estate Renting and Leasing
,Shopping
,Coupons and Discounts
,Sports & Games
,College Sports
,Outdoor Games
,Cycling
,Fashion
,Health & Beauty
,Hair Care
,Makeup and Accessories
,Skin Care
,Watches
,Footwear
,Gadgets & Technology
,Laptops
,Cameras and Camcorders
,Home Entertainment Systems
,Smartphones
,Tablets
,Smartwatch
,Travel
,Travel Accessories
,Travel Locations
,Travel Type
,Online Games
,Education 
,Interior Decorating
,Outdoor Decorating
,Personal Taxes
,Retirement Planning
,Religion & Spirituality
,Astrology
,Property Type
,Location
,Music Streaming Services
,OTT Apps
,Baby Products
,Matrimony
,Cabs
,Cosmetics
,Vacation
,IOT Devices
,FMCG
,Food delivery
,Foods & Beverages
,Gift Cards & Mobile Recharges
,Government Projects
,Grocery
,Gym
,Household Products
,Industrial B2B
,Jewellery
,Lifestyle
,Luggage
,Medicines & Office Supplies
,Mobile & Computers
,National Election
,Online Admission
,Online Services
,Oral Care
,Others
,Quiz
,Religion
,Restaurant table booking
,Spirituality
,Sports & Fitness
,State Election
,Training
,Utility
,Weight Gain
,CAN
,Click
,DFP
,Impression
,Solar Energy
