cm_name,category_tree_text
Industry,Industry
International,Industry^Travel^Air Travel^International
Hotel,Industry^Travel^Hotel
Travel Booking Services,Industry^Travel^Travel Booking Services
Automobiles,Industry^Automobiles
Hatchback,Industry^Automobiles^Four Wheeler^Hatchback
SUV,Industry^Automobiles^Four Wheeler^SUV
Sedan,Industry^Automobiles^Four Wheeler^Sedan
Auto Parts,Industry^Automobiles^Auto Parts
Auto Rentals,Industry^Travel^Auto Rentals
Budget Cars,Industry^Automobiles^Four Wheeler^Budget Cars
Certified Pre-Owned Cars,Industry^Automobiles^Four Wheeler^Certified Pre-Owned Cars
Luxury Cars,Industry^Automobiles^Four Wheeler^Luxury Cars
Bikes,Industry^Automobiles^Two Wheeler^Bikes
Scooters,Industry^Automobiles^Two Wheeler^Scooters
Books & Audible,Industry^Shopping^Books & Audible
Banking & Finance,Industry^Banking & Finance
Banking,Industry^Banking & Finance^Banking
Investment,Industry^Banking & Finance^Investment
Business Loans,Industry^Banking & Finance^Loans^Business Loans
SIPs,Industry^Banking & Finance^Investment^SIPs
Logistics,Industry^Others^Logistics
Job,Industry^Career & Job^Job
Entertainment,Industry^Entertainment
Food & Dining,Industry^Food & Dining
Manufacturing,Industry^Others^Manufacturing
Non-Profit Organizations,Industry^Others^Non-Profit Organizations
Pharmaceutical,Industry^Health & Pharmaceutical^Pharmaceutical
Retail,Industry^Others^Retail
Telecom,Industry^Utility^Telecom
Career & Job,Industry^Career & Job
Career Advice & Counselling,Industry^Career & Job^Career Advice & Counselling
Job Search,Industry^Career & Job^Job^Job Search
Job Fairs,Industry^Career & Job^Job^Job Fairs
Education,Industry^Education
College Education,Industry^Education^College Education
Professional School,Industry^Education^Professional School
Kids Schooling,Industry^Education^Kids Schooling
Online Courses,Industry^Education^Online Courses
Events and Attractions,Industry^Entertainment^Offline Entertainment^Events and Attractions
Malls & Shopping Centers,Industry^Shopping^Malls & Shopping Centers
Family and Relationships,Industry^Family and Relationships
Parenting,Industry^Family and Relationships^Parenting
Daycare and Pre-School,Industry^Family and Relationships^Parenting^Daycare and Pre-School
Special Needs Kids,Industry^Family and Relationships^Parenting^Special Needs Kids
